Codigo_Local_Operacion,Codigo_Equipo,Codigo_INMETRO,Fecha_Comprobacion_INMETRO,Codigo_OVD,Fecha_Comprobacion_OVD,Pista,Fecha_Paso_Vehicular,Hora_Paso_Vehicular,Secuencial_Imagen,Velocidad_Maxima,Velocidad_Maxima_Tolerada,Velocidad_Medida,Velocidad_Considerada,Tamaño_Vehiculo,Placa_Vehiculo,Tipo_Imagen,Tiempo_Ocupacion,Distancia_Vehiculo_Anterior,Cantidad_Ejes_Vehiculo,Codigo_Clasificacion_Vehiculo,Secuencial_Infraccion,Codigo_Infraccion_Vehiculo,Tiempo_Caracterizar_Inicio_Semaforo_Rojo,Tiempo_Avance_Rojo_Parada_Cebra,Tiempo_Caracterizar_Parada_Cebra,Tiempo_Parada_Vehiculo_Cebra,Path_Imagen
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,114111,416962,60,66,23,21,393,TAT467,ZT,1217,1873,,2,185001,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_114111_416962_060_066_023_021_0393_TAT467_ZT_01217_01873__2_185001_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,114122,416966,60,66,24,22,388,FBX770,ZT,1248,2222,,2,185003,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_114122_416966_060_066_024_022_0388_FBX770_ZT_01248_02222__2_185003_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,121110,416988,60,66,14,13,387,NFV302,ZT,2075,1522,,2,185013,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_121110_416988_060_066_014_013_0387_NFV302_ZT_02075_01522__2_185013_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,121247,416990,60,66,15,14,412,NVZ07B,ZT,1809,23364,,2,185014,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_121247_416990_060_066_015_014_0412_NVZ07B_ZT_01809_23364__2_185014_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,121345,416992,60,66,0,0,0,SMT877,ZT,54444,0,,1,185015,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_121345_416992_060_066_000_000_0000_SMT877_ZT_54444_00000__1_185015_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,121945,416997,60,66,5,4,366,HXV10B,ZT,5803,1148,,2,185017,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_121945_416997_060_066_005_004_0366_HXV10B_ZT_05803_01148__2_185017_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,123952,417013,60,66,15,14,377,MKW19B,ZT,1685,1172,,2,185024,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_123952_417013_060_066_015_014_0377_MKW19B_ZT_01685_01172__2_185024_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,124705,417024,60,66,0,0,0,WMQ258,ZT,51777,0,,1,185028,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_124705_417024_060_066_000_000_0000_WMQ258_ZT_51777_00000__1_185028_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,125449,417033,60,66,25,22,382,HNZ23B,ZT,1138,2187,,2,185032,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_125449_417033_060_066_025_022_0382_HNZ23B_ZT_01138_02187__2_185032_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,125802,417039,60,66,25,22,111,OYO05F,ZT,593,578,,1,185035,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_125802_417039_060_066_025_022_0111_OYO05F_ZT_00593_00578__1_185035_30004_1_00_10_00.jpg
