Codigo_Local_Operacion,Codigo_Equipo,Codigo_INMETRO,Fecha_Comprobacion_INMETRO,Codigo_OVD,Fecha_Comprobacion_OVD,Pista,Fecha_Paso_Vehicular,Hora_Paso_Vehicular,Secuencial_Imagen,Velocidad_Maxima,Velocidad_Maxima_Tolerada,Velocidad_Medida,Velocidad_Considerada,Tamaño_Vehiculo,Placa_Vehiculo,Tipo_Imagen,Tiempo_Ocupacion,Distancia_Vehiculo_Anterior,Cantidad_Ejes_Vehiculo,Codigo_Clasificacion_Vehiculo,Secuencial_Infraccion,Codigo_Infraccion_Vehiculo,Tiempo_Caracterizar_Inicio_Semaforo_Rojo,Tiempo_Avance_Rojo_Parada_Cebra,Tiempo_Caracterizar_Parada_Cebra,Tiempo_Parada_Vehiculo_Cebra,Path_Imagen
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,131941,417063,060,066,011,010,0404,FQP874,ZT,02278,00765,,2,185047,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_131941_417063_060_066_011_010_0404_FQP874_ZT_02278_00765__2_185047_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,131948,417065,060,066,011,010,0349,CSP096,ZT,01872,01063,,2,185048,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_131948_417065_060_066_011_010_0349_CSP096_ZT_01872_01063__2_185048_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,131948,417067,060,066,011,010,0349,CSP096,ZT,01872,01063,,2,185049,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_131948_417067_060_066_011_010_0349_CSP096_ZT_01872_01063__2_185049_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,132455,417075,060,066,017,015,0384,JCN861,ZT,01887,01132,,2,185053,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_132455_417075_060_066_017_015_0384_JCN861_ZT_01887_01132__2_185053_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,132455,417077,060,066,017,015,0384,JCN861,ZT,01887,01132,,2,185054,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_132455_417077_060_066_017_015_0384_JCN861_ZT_01887_01132__2_185054_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,132927,417085,060,066,021,019,0386,FBO673,ZT,01279,01011,,2,185058,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_132927_417085_060_066_021_019_0386_FBO673_ZT_01279_01011__2_185058_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,132927,417087,060,066,021,019,0386,FBO673,ZT,01279,01011,,2,185059,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_132927_417087_060_066_021_019_0386_FBO673_ZT_01279_01011__2_185059_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,133025,417089,060,066,000,000,0000,HGZ243,ZT,54179,00000,,1,185060,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_133025_417089_060_066_000_000_0000_HGZ243_ZT_54179_00000__1_185060_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,134949,417097,060,066,010,009,0360,JUI836,ZT,03074,00987,,2,185063,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_134949_417097_060_066_010_009_0360_JUI836_ZT_03074_00987__2_185063_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,134949,417099,060,066,010,009,0360,JUI836,ZT,03074,00987,,2,185064,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_134949_417099_060_066_010_009_0360_JUI836_ZT_03074_00987__2_185064_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,135205,417101,060,066,000,000,0000,LRV476,ZT,56831,00000,,1,185065,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_135205_417101_060_066_000_000_0000_LRV476_ZT_56831_00000__1_185065_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,140806,417111,060,066,003,003,0369,TSF892,ZT,06037,00672,,2,185069,30005,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_140806_417111_060_066_003_003_0369_TSF892_ZT_06037_00672__2_185069_30005_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,141025,417117,060,066,000,000,0000,HMY436,ZT,67034,00000,,1,185071,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_141025_417117_060_066_000_000_0000_HMY436_ZT_67034_00000__1_185071_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,144133,417152,060,066,030,027,0405,FSY01C,ZT,00936,02072,,2,185087,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_144133_417152_060_066_030_027_0405_FSY01C_ZT_00936_02072__2_185087_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,144133,417154,060,066,030,027,0405,FSY01C,ZT,00936,02072,,2,185088,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_144133_417154_060_066_030_027_0405_FSY01C_ZT_00936_02072__2_185088_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,144529,417158,060,066,000,000,0000,COD114,ZT,48220,00000,,1,185090,56732,1,16,10,44.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_144529_417158_060_066_000_000_0000_COD114_ZT_48220_00000__1_185090_56732_1_16_10_44.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,144621,417163,060,066,023,021,0365,FHJ07D,ZT,01264,01710,,2,185092,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_144621_417163_060_066_023_021_0365_FHJ07D_ZT_01264_01710__2_185092_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,144621,417165,060,066,023,021,0365,FHJ07D,ZT,01264,01710,,2,185093,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_144621_417165_060_066_023_021_0365_FHJ07D_ZT_01264_01710__2_185093_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,144705,417167,060,066,000,000,0000,STX848,ZT,59296,00000,,1,185094,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_144705_417167_060_066_000_000_0000_STX848_ZT_59296_00000__1_185094_56732_1_12_10_47.jpg
